Image Index,User ID,Description,Language Level,#Annotation
1,A13FT8BNX9UUP8.csv,there is a room where the drapes are open so natural sunlight enters the room. there is a brown leather couch with folded clothes and a pillow on it. there are potted plants along the side of the room in front of the windows. there is a wooden table with a laptop on it; a lamp; binder; remote and newspaper on it.,0,7,laptop,plants,binder and newspaper,pillow and window,folded clothes,hanging potted plant,window with car view,,,
1,A175PJR0W3LO8I.csv,living room of a suburban home with large windows at the corner facing out to a street with parked cars and lush trees.  there are small palnts placed along the window sill.  a brown leather loveseat with dirty clothes is placed in front of a coffee table with two white unlit candles.  there is a laptop and a mouse along with a few documents on the coffee table; indicating perhaps that this is also a home-office.,0,7,a laptop and a mouse,small decorative houseplants and a lamp placed along a windowsill,a binder and some color documentsq,some thin curtains along a window with a parked car  in the background,some folded clothes on a brown leather sofa,a hanging plant,a parked car seen from inside a window,,,
1,A1HUUSCZ4I5SOP.csv,a room with a tan; leather sofa. there is a wall of windows with white curtains. there's a brown desk with a laptop on it. there are two crystal candle holders with two candles on the desk. there are some potted plants on top of ledge by the window. outside the window; you can see another house and cars parked.,0,7,black laptop,potted plants on shelf,newspapers on desk,corner of sofa with white pillow, potted plants on window ledge,pile of clothes on sofa, pillow next to clothes,potted plant hanging from ceiling,car parked outside ,,,
1,A1S88VQY8G8CNC.csv,a lap top computer is on a table in what could either be a den or a living room. a desk calendar; as well as a lamp and newspapers are also on the table. there are no people on the scene; but there is a leather love seat which has a pillow on it and some items of clothes.  there are a number of large windows; as well as plants on a shelf.,0,7,lap top computer on a table/desk.,large window with lamp and plants.,newspapers and desk calendar on the desk.,left side of love seat, near window.,most of the love seat is visible, along with articles of clothing and pillow.,overhead plant.,window looks out on trees and car.,,,
1,A2JLU8XYHVY2ZP.csv,the living room in the house having appliances and decorative plants in it. the laptop is on the table. the car is standing outside is visible through the glass door.,0,7,laptop is on the table,plants are arranged in a manner,news paper is on the table,a pillow is on the sofa,some cloths on the sofa,a plant is in the hanging pot,car is visible through glass door,,,
1,A3QMAS3KVQTPW0.csv,a drawing room with laptop and newspapers on the table and some cloths on the sofa. cars are parked outside the room. ,0,7,laptop with mouse,small plants in the house,newspapers on the table,white pillow on the sofa,cloths on the sofa,hanging plants,car outside the room,,,
1,A3UV55HC87DO9C.csv,this is a living room of a home. theres a brown couch; a lamp; some candles and a laptop on a small coffee table.,0,7,laptop,plants,literature,window,couch,hanging plant,car,,,
1,A3VOMP0WOJTB4I.csv,there is a laptop kept in the sitting room. there is a sofa set visible.,0,7,laptop,glass,table,curtain,sofa,plant,window,,,
1,AA7BTDZQNHW5.csv,a beautiful living room with sofa; flower vases; laptop and other items,0,7,laptop,flower vases,newspaper,curtain,sofa,hanging leaves,window,,,
1,ADVZAZ12Z8N9J.csv,this is a image of a living room. there is a two seat leather chair; as well as a wooden desk. the desk has several newspapers; as well as a open black laptop on it. ,0,7,laptop,plants,newspapers,window,clothes,plants,curtains,,,
